Variable,Model,Scenario,1981-2010,2011-2040,2041-2070,2071-2100
tas,IPSL-CM5A2-INCA,ssp370,7.7398314,1.6989139999999985,2.6384586,4.438690599999999
tas,IPSL-CM6A-LR,ssp126,8.60586,1.5882954666666667,2.4669190000000008,2.6328429999999994
tas,IPSL-CM6A-LR,ssp245,8.60586,1.7423316,3.1137390000000007,4.193207000000001
tas,IPSL-CM6A-LR,ssp370,8.60586,1.551082533333334,3.334015000000001,5.510925
tas,IPSL-CM6A-LR,ssp585,8.60586,1.3908835333333318,3.858886,7.378418
tas,KACE-1-0-G,ssp126,8.671564,2.4061114000000003,3.6701049999999995,3.7143859999999993
tas,KACE-1-0-G,ssp245,8.671564,2.1099406333333324,3.9161680000000008,4.187775
tas,KACE-1-0-G,ssp370,8.671564,2.111659666666668,4.340515,6.005706999999999
tas,KACE-1-0-G,ssp585,8.671564,2.1723857000000013,4.747009,7.16098
tas,KIOST-ESM,ssp126,2.9666686,0.8025126466666666,1.4286804000000002,1.3790893999999998
tas,KIOST-ESM,ssp245,2.9666686,0.8920674799999997,1.8000184,2.5575561999999996
tas,KIOST-ESM,ssp585,2.9666686,1.2920225333333333,2.2050473999999998,3.3482971
tas,MIROC6,ssp126,10.297052,1.3430871333333325,2.181336,2.0621649999999985
tas,MIROC6,ssp245,10.297052,1.0772787333333316,2.3562319999999985,3.041321
tas,MIROC6,ssp370,10.297052,1.067176,2.5834659999999996,4.258545
tas,MIROC6,ssp585,10.297052,1.0797920666666663,2.961639999999999,5.3593139999999995
tas,MPI-ESM-1-2-HAM,ssp370,5.526605,1.6900514333333332,3.029267000000001,
tas,MPI-ESM1-2-LR,ssp370,6.298578,0.9705420266666671,2.591095,4.608550999999999
tas,MRI-ESM2-0,ssp126,7.7814574,1.576500199999999,2.4547736000000002,1.9203190999999995
tas,MRI-ESM2-0,ssp245,7.7814574,1.5203228666666666,2.8298955999999995,3.400665600000001
tas,MRI-ESM2-0,ssp370,7.7814574,1.5864183333333335,2.8713685999999994,4.185577599999999
tas,MRI-ESM2-0,ssp585,7.7814574,1.8446884666666667,3.4751895999999993,5.2395936
tas,NESM3,ssp126,7.544702,1.6282148000000012,2.2704779999999998,1.9770510000000003
tas,NESM3,ssp245,7.544702,1.7960309333333333,2.8880620000000006,3.2654120000000004
tas,NESM3,ssp585,7.544702,2.0248110000000006,3.9097599999999995,6.180848
tas,NorESM2-LM,ssp585,7.9265075,1.9215665666666677,3.8346565000000012,6.425537500000001
tas,NorESM2-MM,ssp245,8.286951,1.3315448666666683,2.952057,3.748595999999999
tas,NorESM2-MM,ssp370,8.286951,1.269972533333334,3.228363,5.252013999999999
tas,NorESM2-MM,ssp585,8.286951,1.8279056666666662,3.7030639999999995,6.330353000000001
tas,TaiESM1,ssp126,6.847009,1.9001327333333347,3.1770940000000003,3.7742319999999996
tas,TaiESM1,ssp245,6.847009,1.5546087666666661,3.402436,4.828614
tas,TaiESM1,ssp370,6.847009,1.6734153333333328,3.5186159999999997,5.838959000000001
tas,TaiESM1,ssp585,6.847009,2.1491988666666675,4.891968,7.551697000000001
