fecha,tmin,tmed,tmax,co2
1972-12-31,22.4,27.4,32.6,330.96
1973-12-31,23.0,28.0,33.2,332.85
1974-12-31,23.0,28.5,35.0,333.61
1975-12-31,24.6,29.0,37.4,334.57
1976-12-31,23.2,28.4,34.4,336.34
1977-12-31,21.2,26.6,32.8,337.36
1978-12-31,22.2,28.4,36.4,338.7
1979-12-31,23.0,27.6,35.4,341.02
1980-12-31,25.2,30.4,36.6,342.31
1981-12-31,22.0,26.0,32.2,343.56
1982-12-31,24.0,28.6,35.2,344.5
1983-12-31,26.0,28.1,34.2,346.17
1984-12-31,24.4,29.7,38.2,347.99
1985-12-31,23.8,28.6,34.8,349.82
1986-12-31,23.8,30.1,37.6,350.53
1987-12-31,25.0,29.3,35.8,352.38
1988-12-31,24.4,31.5,39.8,354.5
1989-12-31,25.0,31.3,37.6,356.45
1990-12-31,24.8,30.2,36.6,357.51
1991-12-31,24.6,29.5,36.4,359.93
1992-12-31,23.8,27.9,34.6,360.44
1993-12-31,24.0,30.3,36.6,360.92
1994-12-31,25.2,32.2,41.4,362.27
1995-12-31,24.6,29.0,35.6,364.68
1996-12-31,23.0,28.6,35.6,366.06
1997-12-31,23.8,27.6,35.2,367.07
1998-12-31,24.2,28.6,35.6,369.84
1999-12-31,25.8,30.4,38.2,372.13
2000-12-31,24.6,30.0,36.4,373.02
2001-12-31,24.4,29.4,36.8,375.02
2002-12-31,24.0,27.9,34.8,376.91
2003-12-31,25.8,29.3,35.4,379.96
2004-12-31,26.6,30.0,36.0,381.37
2005-12-31,24.8,29.6,36.7,383.07
2006-12-31,25.5,29.4,34.8,385.7
2007-12-31,25.5,28.6,34.1,387.52
2008-12-31,25.0,29.4,36.4,389.21
2009-12-31,24.5,30.8,38.2,391.09
2010-12-31,24.6,31.2,40.4,394.09
2011-12-31,24.4,29.3,37.6,395.62
2012-12-31,24.9,30.5,38.4,397.84
2013-12-31,23.7,29.2,36.9,400.71
2014-12-31,24.8,30.8,38.0,402.73
2015-12-31,26.7,31.4,38.2,404.92
2016-12-31,24.3,30.9,38.8,409.38
2017-12-31,27.2,30.8,35.4,410.51
2018-12-31,26.5,31.2,36.4,412.52
2019-12-31,26.0,30.2,36.6,415.65
2020-12-31,25.6,29.2,34.7,417.94
2021-12-31,25.6,32.0,39.5,420.29
2022-12-31,28.6,35.3,42.0,421.69
2023-12-31,26.4,30.6,36.0,424.63
2024-12-31,25.794853343381156,31.154475299568297,37.854430613725725,419.13651277107624
2025-12-31,25.84864290363396,31.227328706770486,37.93617609291806,421.28749636340297
2026-12-31,25.902537361758228,31.30032418926217,38.01808098830062,423.4426747028019
2027-12-31,25.956529359872924,31.373451781416172,38.10013411789852,425.6017535559443
2028-12-31,26.01061205620295,31.44670221662713,38.18232508407734,427.7644593279926
2029-12-31,26.064779088877774,31.520066878279806,38.26464421852685,429.93053761494946
2030-12-31,26.11902454226932,31.593537754156618,38.3470825311038,432.099751857549
2031-12-31,26.173342915691112,31.667107394043242,38.429631662263155,434.2718820895686
2032-12-31,26.227729094292872,31.74076887030784,38.51228383882578,436.44672377393863
2033-12-31,26.282178321996703,31.81451574124541,38.595031832848846,438.62408672049094
2034-12-31,26.33668617633162,31.88834201699327,38.67786892338115,440.80379407962005
2035-12-31,26.391248545033296,31.9622421278374,38.76078886090108,442.98568140653225
2036-12-31,26.44586160428509,32.03621089474177,38.84378583424898,445.16959579113154
2037-12-31,26.500521798485416,32.11024350194495,38.926854439879,447.3553950489379
2038-12-31,26.555225821434284,32.18433547147884,39.00998965326775,449.5429469687576
2039-12-31,26.609970598839393,32.25848263947469,39.09318680232838,451.7321286131238
2040-12-31,26.66475327204941,32.33268113413121,39.176441542689574,453.9228256678073
2041-12-31,26.71957118292818,32.40692735522792,39.259749834708465,456.1149318369541
2042-12-31,26.774421859789957,32.48121795507566,39.34310792209599,458.3083482806504
2043-12-31,26.82930300432113,32.555549820803144,39.42651231204154,460.50298309193823
2044-12-31,26.884212479419364,32.629920057886125,39.50995975673172,462.6987508105155
2045-12-31,26.939148297885687,32.70432597483177,39.5934472361654,464.89557197054614
2046-12-31,26.99410861190979,32.77876506893739,39.67697194217427,467.09337268018874
2047-12-31,27.04909170329284,32.85323501304808,39.76053126356414,469.292084230618
2048-12-31,27.104095974356127,32.92773364324323,39.84412277229857,471.4916427324716
2049-12-31,27.15911993948735,33.00225894738671,39.92774421065156,473.69198877779627
2050-12-31,27.214162217279934,33.076809054480215,40.01139347926141,475.89306712570794
2051-12-31,27.2692215232237,33.151382224763424,40.095068626022545,478.09482641009936
2052-12-31,27.324296662908232,33.22597684050851,40.17876783575651,480.29721886785063
2053-12-31,27.379386525702984,33.30059139746038,40.2624894206074,482.500200086104
2054-12-31,27.434490078880668,33.37522449687733,40.34623181111105,484.7037287672652
2055-12-31,27.489606362152887,33.44987483812999,40.4299935478907,486.90776651048884
2056-12-31,27.544734482589035,33.524541211819425,40.513773273935044,489.11227760849084
2057-12-31,27.59987360989156,33.599222493377866,40.59756972741799,491.3172288586133
