fecha,tmed
2023-12-31,26.114724501898884
2024-12-31,26.208531195356105
2025-12-31,26.26664564841282
2026-12-31,26.3248734335436
2027-12-31,26.383206601264774
2028-12-31,26.441637759695524
2029-12-31,26.500160035445823
2030-12-31,26.558767037247797
2031-12-31,26.61745282213806
2032-12-31,26.676211864012195
2033-12-31,26.73503902438489
2034-12-31,26.793929525201058
2035-12-31,26.852878923554076
2036-12-31,26.911883088177383
2037-12-31,26.970938177585005
2038-12-31,27.030040619745417
2039-12-31,27.089187093181096
2040-12-31,27.148374509393868
2041-12-31,27.20759999652295
2042-12-31,27.26686088414931
2043-12-31,27.326154689165854
2044-12-31,27.385479102638797
2045-12-31,27.44483197759053
2046-12-31,27.504211317639502
2047-12-31,27.563615266436926
2048-12-31,27.62304209784441
2049-12-31,27.682490206800566
2050-12-31,27.741958100828292
2051-12-31,27.80144439213772
2052-12-31,27.860947790283124
2053-12-31,27.92046709533487
2054-12-31,27.98000119153035
2055-12-31,28.03954904137017
2056-12-31,28.099109680128578
2057-12-31,28.15868221074885
2058-12-31,28.218265799096752
2059-12-31,28.277859669546977
2060-12-31,28.337463100879113
2061-12-31,28.39707542246152
2062-12-31,28.456696010702863
2063-12-31,28.516324285752546
2064-12-31,28.575959708432606
2065-12-31,28.635601777384778
2066-12-31,28.695250026417728
2067-12-31,28.7549040220403
2068-12-31,28.814563361167835
2069-12-31,28.874227668989356
2070-12-31,28.933896596984354
2071-12-31,28.9935698210787
2072-12-31,29.053247039929882
2073-12-31,29.112927973332546
2074-12-31,29.172612360735847
2075-12-31,29.23229995986486
2076-12-31,29.291990545438583
2077-12-31,29.351683907977993
2078-12-31,29.4113798526976
2079-12-31,29.4710781984748
2080-12-31,29.530778776891545
2081-12-31,29.590481431343157
2082-12-31,29.650186016209744
2083-12-31,29.70989239608566
2084-12-31,29.76960044506306
2085-12-31,29.829310046065682
2086-12-31,29.88902109022939
2087-12-31,29.948733476326126
2088-12-31,30.008447110228296
2089-12-31,30.068161904410736
2090-12-31,30.127877777487583
2091-12-31,30.187594653781638
2092-12-31,30.24731246292395
2093-12-31,30.307031139481484
2094-12-31,30.366750622610894
2095-12-31,30.426470855736568
2096-12-31,30.486191786251318
2097-12-31,30.54591336523798
2098-12-31,30.605635547210607
2099-12-31,30.66535828987378
2100-12-31,30.72508155389883
