fecha,tmed
2023-12-31,31.03687740649235
2024-12-31,31.154475299568297
2025-12-31,31.227328706770486
2026-12-31,31.30032418926217
2027-12-31,31.373451781416172
2028-12-31,31.44670221662713
2029-12-31,31.520066878279806
2030-12-31,31.593537754156618
2031-12-31,31.667107394043242
2032-12-31,31.74076887030784
2033-12-31,31.81451574124541
2034-12-31,31.88834201699327
2035-12-31,31.9622421278374
2036-12-31,32.03621089474177
2037-12-31,32.11024350194495
2038-12-31,32.18433547147884
2039-12-31,32.25848263947469
2040-12-31,32.33268113413121
2041-12-31,32.40692735522792
2042-12-31,32.48121795507566
2043-12-31,32.555549820803144
2044-12-31,32.629920057886125
2045-12-31,32.70432597483177
2046-12-31,32.77876506893739
2047-12-31,32.85323501304808
2048-12-31,32.92773364324323
2049-12-31,33.00225894738671
2050-12-31,33.076809054480215
2051-12-31,33.151382224763424
2052-12-31,33.22597684050851
2053-12-31,33.30059139746038
2054-12-31,33.37522449687733
2055-12-31,33.44987483812999
2056-12-31,33.524541211819425
2057-12-31,33.599222493377866
2058-12-31,33.67391763711847
2059-12-31,33.74862567070227
2060-12-31,33.823345689993346
2061-12-31,33.89807685427485
2062-12-31,33.97281838180058
2063-12-31,34.047569545658554
2064-12-31,34.12232966992481
2065-12-31,34.197098126086885
2066-12-31,34.27187432971827
2067-12-31,34.346657737386025
2068-12-31,34.421447843775404
2069-12-31,34.496244179016074
2070-12-31,34.57104630619597
2071-12-31,34.64585381904945
2072-12-31,34.72066633980769
2073-12-31,34.795483517199834
2074-12-31,34.870305024594266
2075-12-31,34.945130558270435
2076-12-31,35.019959835811704
2077-12-31,35.09479259461109
2078-12-31,35.16962859048174
2079-12-31,35.24446759636483
2080-12-31,35.319309401128216
2081-12-31,35.39415380844924
2082-12-31,35.46900063577597
2083-12-31,35.54384971336127
2084-12-31,35.6187008833646
2085-12-31,35.69355399901691
2086-12-31,35.76840892384398
2087-12-31,35.843265530944365
2088-12-31,35.918123702317885
2089-12-31,35.99298332824128
2090-12-31,36.06784430668766
2091-12-31,36.14270654278663
2092-12-31,36.217569948322286
2093-12-31,36.292434441266515
2094-12-31,36.36729994534492
2095-12-31,36.4421663896332
2096-12-31,36.517033708181984
2097-12-31,36.59190183966774
2098-12-31,36.666770727068425
2099-12-31,36.74164031736167
2100-12-31,36.816510561244286
