fecha,tmin,tmed,tmax,co2
1958-12-31,18.129347826086956,22.963043478260868,27.79891304347826,315.4686575342466
1959-12-31,18.81304347826087,23.62608695652174,28.433695652173913,316.0033150684932
1960-12-31,19.73913043478261,23.880434782608695,28.02173913043478,316.9012568306011
1961-12-31,19.27173913043478,23.35217391304348,27.432608695652174,317.5978904109589
1962-12-31,19.56086956521739,23.684782608695652,27.808695652173913,318.42120547945206
1963-12-31,19.358695652173914,23.472826086956523,27.58695652173913,318.8938630136986
1964-12-31,19.83695652173913,24.132608695652173,28.428260869565218,319.80139344262295
1965-12-31,19.204347826086956,23.492391304347827,27.780434782608697,320.01460273972606
1966-12-31,19.51304347826087,23.691304347826087,27.86521739130435,321.3195068493151
1967-12-31,19.01195652173913,23.208695652173912,27.39782608695652,322.1075616438356
1968-12-31,19.284782608695654,23.618478260869566,27.96195652173913,323.0619398907104
1969-12-31,18.79891304347826,23.05,27.292391304347827,324.61553424657535
1970-12-31,19.56195652173913,23.849999999999998,28.13478260869565,325.67654794520547
1971-12-31,19.505434782608695,23.80652173913043,28.107608695652175,326.31317808219177
1972-12-31,18.869565217391305,22.436956521739127,26.004347826086956,327.4989344262295
1973-12-31,19.932608695652174,23.791304347826088,27.645652173913046,329.6049589041096
1974-12-31,19.286956521739132,23.589130434782607,27.894565217391307,330.18780821917807
1975-12-31,20.025,23.99673913043478,27.969565217391303,331.08879452054794
1976-12-31,19.967391304347824,24.24673913043478,28.52608695652174,332.083306010929
1977-12-31,18.10978260869565,22.278260869565216,26.44782608695652,333.7870410958904
1978-12-31,19.047826086956523,22.904347826086955,26.76086956521739,335.4004109589041
1979-12-31,20.108695652173914,23.868478260869566,27.62826086956522,336.8345205479452
1980-12-31,19.508695652173913,23.578260869565216,27.64782608695652,338.61412568306014
1981-12-31,19.108695652173914,23.095652173913045,27.082608695652173,339.9098904109589
1982-12-31,20.72826086956522,24.858695652173914,28.98913043478261,341.0505753424658
1983-12-31,20.058695652173913,23.849999999999998,27.641304347826086,342.76361643835617
1984-12-31,19.082608695652173,23.213043478260868,27.343478260869563,344.4241256830601
1985-12-31,20.45,24.349999999999998,28.25,345.8611232876712
1986-12-31,20.17391304347826,24.118478260869566,28.063043478260873,347.05117808219177
1987-12-31,20.22826086956522,24.296739130434784,28.36521739130435,348.8009315068493
1988-12-31,20.090217391304346,24.21195652173913,28.330434782608698,351.23054644808747
1989-12-31,21.41304347826087,25.208695652173912,29.005434782608695,352.653397260274
1990-12-31,21.019565217391303,25.039130434782606,29.057608695652174,353.95764383561647
1991-12-31,20.22717391304348,24.643478260869564,29.057608695652174,355.36279452054794
1992-12-31,19.43804347826087,23.846739130434784,28.25108695652174,356.17819672131145
1993-12-31,19.88804347826087,24.247826086956525,28.597826086956523,356.9102191780822
1994-12-31,21.567391304347826,25.794565217391302,30.02173913043478,358.7012602739726
1995-12-31,20.719565217391306,24.77282608695652,28.827173913043477,360.71849315068494
1996-12-31,20.46413043478261,24.955434782608698,29.446739130434782,362.3971038251366
1997-12-31,20.31413043478261,24.85978260869565,29.406521739130437,363.4892328767123
1998-12-31,21.005434782608695,25.505434782608695,30.01304347826087,366.42443835616444
1999-12-31,21.366304347826087,25.48913043478261,29.61521739130435,368.1624657534246
2000-12-31,20.16086956521739,24.99673913043478,29.833695652173912,369.34262295081965
2001-12-31,21.12608695652174,25.72608695652174,30.325,370.8802465753425
2002-12-31,20.119565217391305,24.642391304347825,29.15978260869565,373.02978082191777
2003-12-31,22.87173913043478,27.440217391304348,32.0,375.52230136986304
2004-12-31,21.89673913043478,26.027173913043477,30.155434782608697,377.4297267759563
2005-12-31,21.493478260869566,25.49891304347826,29.51086956521739,379.60709589041096
2006-12-31,21.355434782608697,25.07608695652174,28.79565217391304,381.70205479452056
2007-12-31,20.968478260869563,24.741304347826084,28.504347826086956,383.5636712328767
2008-12-31,20.88804347826087,24.67717391304348,28.471739130434784,385.4028961748634
2009-12-31,21.578260869565216,25.62826086956522,29.67391304347826,387.35761643835616
2010-12-31,21.152173913043477,25.133695652173916,29.107608695652175,389.9128493150685
2011-12-31,21.006521739130434,24.69347826086957,28.37826086956522,391.7211232876712
2012-12-31,22.079347826086956,25.928260869565218,29.770652173913046,393.9718579234973
2013-12-31,20.791304347826088,24.52282608695652,28.23695652173913,396.64134246575344
2014-12-31,21.19891304347826,24.941304347826087,28.690217391304348,398.6715342465753
2015-12-31,22.425,26.214130434782607,30.002173913043475,400.8598356164384
2016-12-31,21.2,24.849999999999998,28.51304347826087,404.21071038251364
2017-12-31,21.645652173913046,25.51521739130435,29.38478260869565,406.5068767123288
2018-12-31,22.041304347826088,25.88478260869565,29.731521739130436,408.5261643835616
2019-12-31,21.446739130434782,25.531521739130437,29.61304347826087,411.4087397260274
2020-12-31,21.747826086956522,25.502173913043475,29.25326086956522,413.9489617486339
2021-12-31,21.402173913043477,25.233695652173914,29.06086956521739,416.0706301369863
2022-12-31,22.89782608695652,26.979347826086954,31.057608695652174,418.22375342465756
2023-12-31,22.968478260869563,26.655434782608697,30.338043478260868,420.77512328767125
2024-12-31,22.10956420649759,26.208531195356105,30.306103815867584,419.13651277107624
2025-12-31,22.168053754932405,26.26664564841282,30.363838957634876,421.28749636340297
2026-12-31,22.226657366934656,26.3248734335436,30.42168669176119,423.4426747028019
2027-12-31,22.28536704171132,26.383206601264774,30.479639120648894,425.6017535559443
2028-12-31,22.344175339671256,26.441637759695524,30.537688900663763,427.7644593279926
2029-12-31,22.40307534306064,26.500160035445823,30.59582920327817,429.93053761494946
