fecha,tmed
2023-12-31,19.42013138529729
2024-12-31,19.4970718709329
2025-12-31,19.544737491325648
2026-12-31,19.59249606697027
2027-12-31,19.64034107768027
2028-12-31,19.68826646061644
2029-12-31,19.736266578207008
2030-12-31,19.784336188318008
2031-12-31,19.832470416515942
2032-12-31,19.880664730276088
2033-12-31,19.92891491499988
2034-12-31,19.977217051714533
2035-12-31,20.02556749633687
2036-12-31,20.073962860391685
2037-12-31,20.12239999308253
2038-12-31,20.170875964620173
2039-12-31,20.219388050720404
2040-12-31,20.267933718189262
2041-12-31,20.316510611519323
2042-12-31,20.36511654042618
2043-12-31,20.41374946825917
2044-12-31,20.462407501224988
2045-12-31,20.511088878367207
2046-12-31,20.559791962248674
2047-12-31,20.608515230287438
2048-12-31,20.657257266700462
2049-12-31,20.706016755012364
2050-12-31,20.754792471089665
2051-12-31,20.803583276663637
2052-12-31,20.852388113307455
2053-12-31,20.90120599683582
2054-12-31,20.950036012097424
2055-12-31,20.998877308132677
2056-12-31,21.04772909367108
2057-12-31,21.09659063294446
2058-12-31,21.145461241793818
2059-12-31,21.19434028404934
2060-12-31,21.243227168164218
2061-12-31,21.292121344084702
2062-12-31,21.341022300339613
2063-12-31,21.38992956133404
2064-12-31,21.438842684832853
2065-12-31,21.487761259620754
2066-12-31,21.53668490332643
2067-12-31,21.585613260399352
2068-12-31,21.63454600022847
2069-12-31,21.68348281539288
2070-12-31,21.732423420035182
2071-12-31,21.78136754834896
2072-12-31,21.830314953172326
2073-12-31,21.879265404680154
2074-12-31,21.928218689167984
2075-12-31,21.977174607921306
2076-12-31,22.026132976164085
2077-12-31,22.0750936220811
2078-12-31,22.124056385908794
2079-12-31,22.17302111908996
2080-12-31,22.22198768348769
2081-12-31,22.270955950654432
2082-12-31,22.319925801152387
2083-12-31,22.368897123921503
2084-12-31,22.417869815691848
2085-12-31,22.46684378043718
2086-12-31,22.51581892886686
2087-12-31,22.564795177953382
2088-12-31,22.61377245049306
2089-12-31,22.66275067469752
2090-12-31,22.71172978381389
2091-12-31,22.760709715771533
2092-12-31,22.80969041285366
2093-12-31,22.85867182139193
2094-12-31,22.90765389148248
2095-12-31,22.95663657672185
2096-12-31,23.005619833961493
2097-12-31,23.054603623079423
2098-12-31,23.10358790676796
2099-12-31,23.152572650336293
2100-12-31,23.20155782152694
